short_name,long_name,overall,value_eur,wage_eur,player_positions,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
W. Faríñez,Wuilker Faríñez,73,7500000,2000,GOALKEEPER,18,19,17,25,15,14,22,18,29,25,49,54,69,65,65,52,75,39,51,20,23,17,15,66,23,45,25,16,21,73,70,69,74,77
C. Romero,Cristian Gabriel Romero,73,8000000,9000,DEFENDER,31,26,76,55,33,36,35,29,46,54,61,65,64,71,64,51,76,72,75,37,88,76,31,36,40,58,67,73,74,5,7,11,10,14
Brahim,Brahim Díaz,73,7500000,58000,ATTACKER,60,67,30,71,44,81,68,47,50,80,81,75,83,70,86,70,65,56,35,65,41,20,67,66,58,70,43,23,21,13,9,13,10,6
R. James,Reece James,73,7000000,31000,DEFENDER,73,48,58,70,46,72,63,66,68,72,78,79,74,69,67,73,71,76,78,62,69,69,62,65,50,64,69,75,70,8,12,7,13,11
I. Akhmetov,Ilzat Akhmetov,73,7000000,1000,MIDFIELDER,64,60,45,78,47,77,58,50,77,73,74,75,80,72,82,57,52,62,49,60,43,65,64,75,50,71,63,61,55,8,14,14,7,12
E. Håland,Erling Braut Håland,73,6500000,12000,ATTACKER,46,72,62,67,70,72,69,51,33,74,79,83,66,72,65,74,70,73,84,62,81,35,73,57,72,78,38,31,15,7,14,13,11,7
M. Shaparenko,Mykola Shaparenko,73,7000000,1000,MIDFIELDER,59,70,41,75,44,74,41,56,69,72,64,65,70,72,71,51,59,65,50,66,57,68,74,75,45,63,67,67,66,13,6,12,14,13
Puado,Javier Puado Díaz,73,7000000,18000,ATTACKER,48,74,69,72,64,75,47,38,59,74,82,79,79,71,71,68,68,63,67,63,39,24,72,57,59,61,32,18,20,8,9,11,8,13
R. Kent,Ryan Kent,73,7000000,55000,ATTACKER,70,64,35,70,36,78,62,32,63,74,89,88,92,63,85,58,50,66,53,61,43,22,65,68,52,70,24,20,17,9,8,6,13,7
S. Salcedo,Saúl Salcedo,73,6500000,9000,DEFENDER,39,31,73,45,34,47,33,32,48,54,65,69,55,74,67,52,90,71,81,27,63,71,28,43,43,72,73,77,74,7,14,6,7,13
Unai Simón,Unai Simón Mendibil,73,5500000,11000,GOALKEEPER,16,14,18,29,17,12,20,14,21,16,46,48,32,66,47,48,60,45,73,13,27,26,14,31,24,48,11,18,12,72,73,64,74,72
A. Tuanzebe,Axel Tuanzebe,73,6500000,46000,DEFENDER,52,26,69,72,41,68,45,37,70,69,76,79,76,72,68,46,73,74,75,34,72,68,50,55,50,74,73,72,73,5,8,5,13,12
T. Tomiyasu,冨安 健洋,73,6500000,16000,DEFENDER,47,27,70,68,22,60,43,35,65,67,67,66,65,62,58,37,69,68,81,24,74,69,23,51,37,59,72,75,74,9,14,6,5,11
Maycon,Maycon de Andrade Barberan,73,7000000,1000,MIDFIELDER,57,59,56,76,56,71,67,70,73,69,70,70,63,73,76,82,70,72,65,74,70,62,68,76,56,60,68,67,64,12,11,11,9,12
I. Oblyakov,Ivan Oblyakov,73,7000000,1000,MIDFIELDER,77,64,57,73,53,76,72,71,76,75,70,76,77,67,80,69,62,73,61,67,60,63,73,75,52,66,50,53,55,6,14,5,7,12
M. Senesi,Marcos Senesi,73,6500000,13000,DEFENDER,29,32,72,69,25,54,31,22,69,65,64,58,47,63,50,48,76,67,74,31,68,77,32,23,40,60,72,76,71,10,13,11,7,8
Óscar,Óscar Rodríguez Arnaiz,73,7000000,17000,MIDFIELDER,68,70,45,72,52,79,78,82,68,76,64,66,66,73,74,62,58,61,62,71,48,61,66,73,53,72,47,47,43,12,7,9,11,7
Stephen Eustáquio,Stephen Antunes Eustáquio,73,6500000,16000,MIDFIELDER,70,53,55,76,55,70,71,51,73,72,64,58,71,73,71,70,76,81,65,65,67,72,60,72,64,75,67,72,64,14,12,15,11,5
Pedro Porro,Pedro Antonio Porro Sauceda,73,6000000,8000,DEFENDER,73,61,61,69,53,76,56,45,62,78,75,77,80,64,72,68,60,81,50,59,67,68,70,65,46,67,68,71,72,15,7,14,5,7
B. Drągowski,Bartłomiej Drągowski,73,5000000,18000,GOALKEEPER,19,12,13,35,12,20,12,20,32,18,46,42,33,72,54,53,57,34,56,18,19,21,15,62,21,65,20,16,16,71,69,70,72,76
D. Kownacki,Dawid Kownacki,73,6500000,22000,MIDFIELDER,54,73,66,66,63,70,52,32,59,70,79,77,75,70,67,78,68,72,73,57,58,42,75,62,72,71,20,18,16,15,13,9,9,11
Fede,Federico San Emeterio Díaz,73,6000000,13000,MIDFIELDER,55,53,63,75,56,61,57,56,70,68,64,64,65,72,77,63,66,90,69,51,79,71,53,65,59,70,70,70,72,11,9,7,6,13
J. Gélin,Jérémy Gélin,73,6000000,24000,DEFENDER,44,30,68,70,30,58,52,33,67,68,58,65,61,73,61,52,71,69,73,35,73,71,26,58,48,71,72,75,71,8,11,7,12,14
R. van Drongelen,Rick van Drongelen,73,6000000,8000,DEFENDER,46,20,70,67,35,44,44,50,65,60,64,68,55,60,59,29,77,66,80,24,70,68,22,56,48,59,74,76,71,14,14,8,7,11
J. Eggestein,Johannes Eggestein,73,6500000,18000,ATTACKER,65,75,67,73,66,76,60,42,64,77,75,70,76,75,70,75,69,67,58,60,37,37,76,67,65,69,56,24,20,14,10,8,7,15
M. Camara,Mohamed Mady Camara,73,6000000,1000,MIDFIELDER,61,51,69,69,46,71,57,40,66,71,66,68,64,68,62,77,63,88,83,72,80,70,57,60,41,66,73,74,69,11,11,9,11,7
Léo Jabá,Leonardo Rodrigues Lima,73,6500000,1000,MIDFIELDER,68,70,54,66,58,76,54,37,60,73,83,86,75,68,68,65,72,68,72,66,31,14,74,65,72,63,33,20,18,12,7,11,14,12
D. Rossi,Diego Rossi,73,6500000,6000,ATTACKER,62,73,44,70,69,75,70,34,57,74,83,82,83,69,84,73,58,71,50,67,45,21,73,72,57,68,37,18,28,11,14,15,14,13
L. Majer,Lovro Majer,73,6500000,1000,MIDFIELDER,81,64,42,74,67,78,83,76,76,76,75,66,84,63,69,75,50,66,53,70,63,34,60,77,78,70,35,34,31,9,12,12,5,6
M. Mittelstädt,Maximilian Mittelstädt,73,6000000,19000,MIDFIELDER,77,59,69,73,41,76,69,35,72,74,79,76,76,72,76,60,82,70,56,55,62,69,61,60,37,63,62,72,66,13,10,7,13,13
A. Ćorić,Ante Ćorić,73,6000000,26000,MIDFIELDER,71,64,37,73,56,74,67,71,66,76,78,62,80,72,84,68,55,70,47,71,41,34,70,73,58,68,49,38,35,15,10,14,14,7
Lyanco,Lyanco Neves Vojnovic,73,5500000,25000,DEFENDER,35,33,69,68,34,57,33,27,59,62,57,61,57,67,43,51,71,54,75,27,78,71,31,46,47,62,70,76,72,9,7,13,10,8
Álvaro Tejero,Álvaro Tejero Sacristán,73,5500000,14000,DEFENDER,76,54,55,72,38,75,66,68,67,74,82,78,85,72,88,74,78,88,53,65,63,71,70,63,59,70,66,67,68,13,7,10,9,7
M. Pereira Lage,Mathias Pereira Lage,73,6000000,16000,MIDFIELDER,72,70,67,73,72,71,69,64,70,74,82,79,81,59,75,73,83,85,68,67,31,62,56,72,67,66,22,49,24,9,15,5,11,6
S. Grandsir,Samuel Grandsir,73,6000000,14000,MIDFIELDER,75,59,58,72,56,76,74,59,70,71,89,86,90,65,89,71,69,69,57,57,67,45,64,65,50,67,44,39,47,12,13,7,11,5
D. Okereke,David Okereke,73,6500000,15000,ATTACKER,43,74,68,70,56,76,40,31,33,74,90,91,85,70,69,68,81,69,66,56,48,17,70,68,62,71,31,17,15,11,14,9,8,8
M. Richter,Marco Richter,73,6000000,15000,MIDFIELDER,66,70,58,68,63,77,60,37,53,75,86,79,82,74,77,75,66,66,63,66,41,22,74,62,56,62,21,25,26,12,13,7,5,10
J. Savarino,Jefferson Savarino,73,6000000,7000,ATTACKER,64,69,43,70,63,77,65,53,58,74,85,80,90,70,81,78,55,78,58,67,59,30,66,69,60,71,36,42,30,7,13,6,15,12
N. De la Cruz,Diego Nicolás De La Cruz Arcosa,73,6000000,16000,MIDFIELDER,62,59,63,73,60,75,68,72,70,72,79,77,86,66,84,72,66,70,31,71,61,46,66,74,66,67,44,42,47,9,6,9,7,9
P. Rajkovic,Predrag Rajkovic,73,4800000,14000,GOALKEEPER,13,9,13,26,8,8,14,10,25,18,30,18,32,68,29,53,35,26,66,10,24,10,4,42,20,32,11,10,10,74,72,71,72,74
R. Rojas,Robert Rojas,73,5500000,14000,DEFENDER,71,51,75,68,49,65,33,32,66,68,71,74,70,68,71,62,90,71,76,49,75,70,63,57,59,69,73,68,68,15,11,13,12,6
L. Boyé,Lucas Ariel Boyé,73,6000000,16000,MIDFIELDER,60,66,69,74,65,80,65,36,58,81,75,68,72,69,69,71,69,67,77,63,70,30,69,71,66,70,50,36,30,14,7,11,15,7
M. Friedrich,Marvin Friedrich,73,5500000,23000,DEFENDER,43,35,70,66,35,42,39,26,68,55,54,66,54,70,51,48,69,62,76,29,64,74,29,53,38,53,71,77,74,10,13,13,15,14
E. Unsain,Ezequiel Unsain,73,4500000,7000,GOALKEEPER,21,18,20,35,18,23,20,17,27,30,56,52,54,69,62,58,65,42,68,18,24,25,18,47,27,49,15,22,21,79,65,77,66,79
B. Kuscevic,Benjamín Kuscevic,73,5500000,8000,DEFENDER,43,35,73,68,38,56,35,43,64,61,71,69,64,71,62,55,79,73,82,38,71,70,56,42,39,70,72,74,70,13,9,7,11,8
N. Fernández,Nicolás Fernández,73,6000000,11000,ATTACKER,61,75,69,66,65,75,57,47,50,73,91,82,85,73,90,67,85,77,42,67,52,29,77,71,65,71,25,27,25,7,14,10,11,8
L. Haraslín,Lukáš Haraslín,73,6000000,7000,MIDFIELDER,67,63,59,68,58,73,68,54,66,72,85,84,90,65,83,62,73,89,64,59,38,33,66,68,58,65,33,41,48,13,12,13,10,15
A. Donis,Anastasios Donis,73,6000000,21000,ATTACKER,54,74,61,68,63,80,47,41,50,80,89,86,77,72,78,70,69,73,63,66,61,20,69,50,69,61,22,18,24,8,14,12,15,11
C. Montes,César Jasib Montes Castro,73,5500000,25000,DEFENDER,41,32,76,66,31,52,62,37,70,64,56,66,72,69,55,50,78,76,79,35,73,71,59,61,48,74,69,74,74,9,10,5,5,13
G. Larsonneur,Gautier Larsonneur,73,4500000,10000,GOALKEEPER,18,19,14,29,20,20,11,11,26,22,50,50,60,62,65,50,70,35,59,12,22,17,17,25,21,51,12,20,12,74,75,66,68,76
M. Cafaro,Mathieu Cafaro,73,6000000,20000,MIDFIELDER,74,66,47,72,59,75,71,75,71,74,77,74,86,69,89,74,59,69,56,73,62,48,67,69,56,68,44,41,45,6,10,11,10,10
M. Wöber,Maximilian Wöber,73,5500000,18000,DEFENDER,61,32,74,67,34,62,42,31,67,65,69,73,65,68,59,48,75,70,78,35,77,68,52,58,42,67,72,72,75,13,13,14,14,8
T. Fosu-Mensah,Timothy Evans Fosu-Mensah,73,5500000,46000,DEFENDER,64,57,69,72,55,63,60,34,63,67,79,87,73,67,62,69,64,70,78,60,80,70,61,61,48,67,70,73,73,11,8,8,7,11
Gabriel,Gabriel dos Santos Magalhães,73,5500000,18000,DEFENDER,38,31,76,72,28,46,47,27,58,63,63,54,51,68,40,51,68,65,80,30,75,74,32,31,40,64,70,71,70,12,8,13,10,7
C. Mepham,Chris Mepham,73,5500000,30000,DEFENDER,36,30,71,66,32,58,40,31,59,66,59,64,51,67,64,43,74,68,76,27,72,71,35,53,44,64,72,73,73,10,10,12,14,12
S. Alakouch,Sofiane Alakouch,73,5500000,12000,DEFENDER,72,31,53,72,30,67,57,31,66,69,77,74,77,69,78,41,51,74,54,34,59,73,61,65,34,69,74,72,73,6,12,14,11,8
Mama Baldé,Mama Samba Baldé,73,6000000,12000,ATTACKER,66,71,72,67,68,73,73,39,63,72,87,91,75,75,68,79,82,78,71,66,83,67,74,63,48,66,61,65,63,6,12,13,13,6
Pau Torres,Pau Francisco Torres,73,5500000,18000,DEFENDER,44,27,76,73,34,52,37,28,67,69,66,62,58,68,45,46,72,81,65,35,69,72,31,53,42,57,72,75,74,11,13,13,13,9
T. Bašić,Toma Bašić,73,6000000,21000,MIDFIELDER,73,53,64,75,59,71,71,74,75,75,53,55,59,70,63,71,60,63,67,66,64,64,69,74,51,71,64,71,69,13,10,11,11,7
Y. Benzia,Yassine Benzia,73,5500000,25000,MIDFIELDER,66,72,64,71,69,78,77,71,66,72,72,68,77,68,72,71,79,72,58,67,61,55,72,75,76,75,33,46,38,6,9,14,13,9
M. Stępiński,Mariusz Stępiński,73,5500000,5000,ATTACKER,51,74,74,71,63,71,51,34,54,70,73,69,77,69,71,71,75,65,68,64,50,32,76,59,62,60,53,18,17,8,13,7,9,7
R. Bazoer,Riechedly Bazoer,73,5500000,14000,MIDFIELDER,70,58,63,78,69,75,68,41,74,77,74,74,74,75,74,72,81,72,73,70,72,57,66,71,46,72,69,63,60,6,11,12,14,10
C. Akpom,Chuba Akpom,73,5500000,1000,ATTACKER,48,71,67,65,63,70,42,37,45,70,82,85,78,70,63,73,82,70,80,66,44,29,73,55,62,70,17,29,19,8,15,10,6,13
D. Biraschi,Davide Biraschi,73,5000000,11000,DEFENDER,49,31,66,66,30,56,46,38,60,69,66,55,56,72,68,50,72,58,70,28,67,74,47,49,32,64,76,78,75,15,9,16,7,12
I. Arboleda,Iván Mauricio Arboleda,73,4300000,8000,GOALKEEPER,20,16,21,27,20,21,22,17,23,21,61,58,57,71,57,50,68,43,52,14,23,24,13,22,23,50,24,13,15,75,69,66,71,75
D. von Ballmoos,David von Ballmoos,73,4300000,11000,GOALKEEPER,16,16,13,35,20,22,19,13,27,23,55,49,52,66,53,53,68,37,73,15,25,26,19,40,28,61,9,20,18,75,72,70,70,75
B. Celina,Bersant Celina,73,5500000,20000,MIDFIELDER,66,70,46,70,55,76,69,74,64,74,78,74,78,67,81,71,47,64,62,73,47,18,64,75,69,68,26,27,15,9,15,16,10,8
B. Mensah,Bernard Mensah,73,5500000,11000,MIDFIELDER,64,67,62,74,49,76,72,70,69,74,82,76,79,67,66,80,61,58,67,71,70,68,69,69,59,72,68,62,42,15,13,12,10,11
Sivera,Antonio Sivera Salvá,73,4300000,12000,GOALKEEPER,22,15,14,32,16,14,26,12,34,26,58,55,60,68,53,51,67,42,60,12,25,24,16,44,24,53,13,17,12,73,71,68,75,74
P. Olayinka,Peter Oladeji Olayinka,73,5500000,1000,MIDFIELDER,70,69,70,70,62,73,66,60,65,72,82,80,74,72,66,71,76,82,72,63,71,41,71,67,65,68,32,40,29,13,9,7,15,11
K. Iheanacho,Kelechi Iheanacho,73,5500000,51000,ATTACKER,49,70,60,70,73,75,72,64,63,76,77,79,73,71,70,72,65,67,70,72,61,21,77,67,73,69,28,25,23,8,7,7,11,15
Roger Guedes,Roger Krug Guedes,73,5500000,15000,MIDFIELDER,70,72,61,73,66,82,68,55,67,77,81,82,69,71,60,69,68,69,69,63,42,32,70,70,67,64,36,17,23,10,7,15,6,15
U. Agbo,Uche Agbo,73,5000000,11000,MIDFIELDER,48,48,66,71,62,65,47,49,74,70,57,62,60,71,58,77,63,85,74,62,82,70,54,60,39,70,70,74,71,10,8,8,10,13
André Horta,André Filipe Luz Horta,73,5500000,10000,MIDFIELDER,69,59,50,77,67,76,70,50,75,74,70,71,89,72,79,75,67,70,63,64,70,63,69,74,55,74,66,67,57,6,15,15,10,8
F. Soldano,Franco Soldano,73,5500000,18000,ATTACKER,35,75,77,55,66,67,61,29,43,73,72,67,69,71,66,74,82,78,73,64,48,27,76,71,62,74,31,46,27,12,10,12,10,13
J. Cádiz,Jhonder Leonel Cádiz Fernández,73,5500000,10000,ATTACKER,46,72,73,64,67,73,38,26,44,70,64,70,62,74,54,75,58,79,76,56,72,24,76,55,70,74,25,31,24,9,10,7,9,6
F. Maouassa,Christ-Emmanuel Faitout Maouassa,73,5000000,20000,DEFENDER,74,57,52,71,48,74,79,58,53,73,85,82,77,69,79,80,64,73,68,66,66,69,67,61,42,61,70,73,70,14,8,5,6,9
R. Perraud,Romain Perraud,73,5000000,10000,DEFENDER,71,53,62,68,58,71,69,68,67,72,75,74,78,68,82,84,53,81,59,78,85,72,66,64,64,65,73,74,68,6,7,10,11,13
Aurélio Buta,Aurélio Gabriel Ulineia Buta,73,5000000,9000,DEFENDER,78,56,42,65,49,76,63,41,63,73,91,88,79,72,84,72,82,78,59,56,66,69,69,58,53,68,68,68,69,9,5,13,9,10
V. Rosier,Valentin Rosier,73,5000000,9000,DEFENDER,69,40,63,68,40,73,58,39,62,73,78,74,67,71,77,61,67,75,66,52,73,73,58,58,39,67,67,74,73,8,13,10,10,9
Kim Min Jae,김민재 金敏在,73,5000000,12000,DEFENDER,25,23,75,59,24,34,21,23,59,49,71,73,70,68,65,44,72,68,87,37,78,74,37,56,30,64,66,75,71,13,7,11,14,11
U. Račić,Uroš Račić,73,5000000,7000,MIDFIELDER,60,59,72,74,58,66,56,55,72,77,55,63,54,65,52,74,65,71,73,74,69,72,63,68,72,70,70,74,72,11,12,9,14,7
O. Kolář,Ondřej Kolář,73,4300000,1000,GOALKEEPER,13,7,11,38,6,25,13,14,29,31,54,51,44,69,24,59,44,25,60,8,17,11,5,49,15,59,17,12,14,72,70,78,72,76
Luca Sangalli,Luca Sangalli Fuentes,73,5500000,18000,MIDFIELDER,69,65,49,77,56,77,60,36,77,73,73,72,68,68,80,60,61,71,60,70,61,63,72,65,40,66,60,65,55,14,6,11,9,11
G. Zahid,Ghayas Zahid,73,5500000,1000,MIDFIELDER,65,63,48,74,53,73,61,52,64,74,83,73,90,69,82,67,76,74,62,61,56,48,68,75,53,73,27,30,32,10,10,8,8,14
A. Mawson,Alfie Mawson,73,4900000,29000,DEFENDER,23,48,78,68,40,56,22,24,65,63,54,54,48,65,49,53,73,54,83,21,65,73,25,43,32,67,73,73,71,14,12,12,14,10
H. Mukhtar,Hany Mukhtar,73,5500000,15000,MIDFIELDER,68,60,40,74,55,76,60,67,64,78,76,81,87,70,85,70,72,85,53,63,38,45,66,72,60,66,47,42,44,15,10,9,9,12
L. Phiri,Lebogang Phiri,73,5000000,6000,MIDFIELDER,64,53,64,75,59,72,69,57,69,73,75,75,77,71,81,59,74,81,65,59,69,70,60,69,58,72,73,74,68,15,8,8,14,13
A. Sørloth,Alexander Sørloth,73,5500000,23000,ATTACKER,69,73,73,67,69,68,68,51,60,70,67,77,52,66,56,77,62,77,87,67,72,36,74,64,70,73,39,21,21,15,12,8,15,8
O. Ntcham,Jules Olivier Ntcham,73,5500000,34000,MIDFIELDER,66,58,51,75,66,74,69,70,73,74,73,74,71,63,75,76,55,81,78,72,66,69,66,71,72,71,70,72,63,8,14,14,6,6
J. Figal,Jorge Figal,73,4900000,15000,DEFENDER,57,42,72,75,28,69,44,30,71,73,69,70,70,72,64,61,77,77,73,45,75,71,35,57,37,73,70,72,69,7,11,7,16,9
Nélson Monte,Nélson Macedo Monte,73,4900000,7000,DEFENDER,52,28,65,68,33,53,43,38,67,63,60,54,56,71,56,49,75,65,76,31,73,76,41,44,46,63,74,75,72,13,15,9,11,11
I. Success,Isaac Success,73,5500000,43000,MIDFIELDER,73,69,64,68,57,77,56,54,55,79,72,77,67,68,64,80,78,63,75,58,45,22,72,62,68,63,41,33,24,8,15,14,8,10
A. Blin,Alexis Blin,73,5000000,12000,MIDFIELDER,62,52,58,73,48,64,65,46,66,66,54,53,61,74,67,60,66,79,70,55,72,72,62,68,52,68,74,74,73,13,6,8,10,8
J. Omlin,Jonas Omlin,73,4100000,15000,GOALKEEPER,24,17,24,45,15,27,21,16,35,31,49,51,32,68,51,52,70,35,72,21,19,25,17,36,27,57,20,21,24,75,71,69,70,76
D. Blanco,Domingo Felipe Blanco,73,5500000,15000,MIDFIELDER,69,59,44,76,62,81,65,64,68,78,85,77,89,74,88,71,60,79,60,68,65,63,68,69,52,77,54,63,58,10,8,11,13,10
R. Zentner,Robin Zentner,73,4100000,13000,GOALKEEPER,17,14,18,30,15,13,14,16,26,19,65,65,30,72,45,48,60,28,81,13,38,18,10,22,25,32,21,17,13,73,71,64,71,77
J. Kenny,Jonjoe Kenny,73,4900000,18000,DEFENDER,72,28,64,67,33,68,61,49,60,67,73,71,68,70,71,60,73,72,63,44,76,76,64,55,53,65,72,74,75,6,13,16,13,15
B. Kamara,Bingourou Kamara,73,4100000,14000,GOALKEEPER,12,12,20,15,15,19,13,16,15,21,37,41,28,65,42,49,79,32,75,19,17,20,11,26,22,58,8,15,14,76,69,65,71,75
S. Mounié,Steve Mounié,73,5500000,26000,ATTACKER,60,72,82,67,69,64,52,41,59,70,64,66,57,71,54,79,83,66,83,64,78,42,73,61,65,67,35,35,40,14,15,6,12,15
Arana,Guilherme Arana Lopes,73,5500000,12000,MIDFIELDER,77,59,61,75,47,75,68,49,67,75,75,75,70,75,73,69,62,68,64,61,69,71,66,61,52,58,67,70,70,14,13,16,11,14
G. Kerk,Gyrano Kerk,73,5500000,15000,ATTACKER,65,73,59,64,66,74,62,34,56,72,93,93,84,71,75,72,76,77,70,63,59,32,71,62,52,70,38,21,20,12,15,12,15,14
Murilo,Murilo de Souza Costa,73,5500000,11000,ATTACKER,66,69,58,66,68,77,69,72,54,76,91,90,87,71,74,76,65,75,70,66,30,20,67,62,70,66,21,21,21,13,11,8,9,7
U. Çakır,Uğurcan Çakır,73,4100000,15000,GOALKEEPER,15,13,14,32,20,14,18,20,27,24,50,55,49,71,58,53,75,40,67,19,27,25,14,40,23,44,17,18,16,74,69,70,72,76
C. Roldan,Cristian Roldan,73,5000000,6000,MIDFIELDER,66,63,63,73,49,70,69,40,70,70,68,69,77,70,84,70,83,91,67,63,78,70,67,68,61,71,70,71,69,13,7,12,16,11
A. De Sart,Alexis De Sart,73,5500000,9000,MIDFIELDER,69,59,67,73,67,68,73,70,73,73,60,59,73,69,71,72,64,83,65,74,58,72,68,71,58,68,69,70,68,14,12,12,15,10
D. Kamada,鎌田 大地,73,5500000,25000,ATTACKER,71,75,53,73,38,77,67,66,65,77,76,74,77,70,72,69,68,70,59,62,48,28,74,72,71,80,30,42,34,6,10,11,6,11
Álvaro Jiménez,Álvaro José Jiménez Guerrero,73,5500000,7000,MIDFIELDER,72,69,48,69,69,74,74,49,64,72,80,78,76,66,76,75,54,80,59,66,57,48,71,69,49,67,57,39,32,7,12,10,7,5
U. Bozok,Umut Bozok,73,5500000,7000,ATTACKER,61,74,66,67,68,76,48,54,40,74,80,81,79,68,72,68,71,72,68,64,56,13,74,65,72,70,35,11,12,9,10,8,12,9
S. Plavšić,Srdjan Plavšić,73,5500000,1000,MIDFIELDER,75,64,43,67,62,75,71,64,57,72,88,82,89,70,89,76,84,72,45,70,72,27,67,65,54,73,26,28,22,9,13,13,8,7
Dani Raba,Daniel Raba Antolin,73,5500000,7000,MIDFIELDER,74,73,42,73,52,77,60,42,70,75,70,66,70,65,59,73,50,61,63,70,50,40,72,70,49,65,38,36,38,12,11,15,12,14
David Juncà,David Juncà Reñé,73,4700000,16000,DEFENDER,73,35,72,74,43,64,65,58,61,68,72,72,72,67,78,61,75,85,74,46,72,71,55,48,55,67,62,71,73,10,9,16,8,9
M. Pigliacelli,Mirko Pigliacelli,73,3900000,7000,GOALKEEPER,18,19,11,35,9,21,14,19,52,32,49,47,35,67,37,64,64,35,51,14,23,23,10,57,43,53,25,22,19,74,69,85,68,75
J. Ibe,Jordon  Ibe,73,5500000,39000,MIDFIELDER,66,61,35,73,50,81,65,53,63,75,79,77,79,65,80,77,60,65,62,72,55,48,69,69,63,68,35,45,40,13,15,7,13,13
S. Kapino,Stefanos Kapino,73,3900000,15000,GOALKEEPER,12,13,12,26,19,14,14,18,27,29,41,42,55,71,45,50,74,38,70,19,23,14,3,45,26,55,24,11,14,74,67,66,72,79
N. Murru,Nicola Murru,73,4700000,21000,DEFENDER,72,30,63,68,39,68,54,39,61,70,73,73,72,71,70,57,74,76,62,40,72,70,53,44,47,69,71,76,74,5,5,5,5,5
P. Nardi,Paul Nardi,73,3900000,5000,GOALKEEPER,10,10,17,35,10,10,12,10,25,25,54,43,35,69,52,51,61,20,54,10,24,20,10,55,16,35,15,14,10,78,67,68,67,77
C. Robinson,Callum Robinson,73,5500000,26000,ATTACKER,69,76,63,65,59,74,57,55,52,73,86,84,82,71,68,70,47,65,65,68,46,25,74,73,61,68,47,21,21,14,7,10,14,15
Moi Gómez,Moisés Gómez Bordonado,73,5000000,23000,MIDFIELDER,75,70,54,79,59,76,80,59,75,77,69,67,77,68,77,68,72,75,53,71,52,51,69,71,59,68,60,47,34,12,7,16,7,7
H. Magnússon,Hörður Björgvin Magnússon,73,4700000,1000,DEFENDER,69,45,68,72,33,64,74,60,75,57,57,74,52,71,55,62,70,70,76,51,70,71,24,45,39,66,74,74,71,10,5,5,10,10
Mattheus Oliveira,Mattheus Andrade Gama de Oliveira,73,5500000,9000,MIDFIELDER,69,62,57,78,65,74,74,70,74,80,65,64,67,66,67,78,54,72,64,72,50,57,66,74,67,66,53,62,47,16,8,12,6,7
Eugeni,Eugeni Valderrama Domènech,73,5500000,7000,MIDFIELDER,70,70,56,75,65,74,73,75,73,76,65,67,71,68,59,65,53,71,72,69,50,58,68,72,72,69,56,59,48,6,10,7,10,7
Edgar Ié,Edgar Miguel Ié,73,4800000,10000,DEFENDER,67,31,65,66,37,62,49,59,59,65,72,69,69,68,68,66,91,67,73,54,75,75,34,32,48,66,70,74,73,7,9,7,10,12
M. Stendera,Marc Stendera,73,5500000,22000,MIDFIELDER,67,72,47,77,66,75,83,75,71,76,66,47,78,72,81,73,52,66,63,72,63,58,68,75,60,67,52,66,57,7,14,9,16,7
F. Barba,Federico Barba,73,4800000,14000,DEFENDER,66,21,73,65,32,58,40,29,56,63,68,69,66,68,49,47,63,62,74,31,72,76,27,50,35,66,72,72,72,7,11,12,13,8
L. Öztunalı,Levin Öztunalı,73,5500000,19000,MIDFIELDER,68,65,54,68,63,80,78,72,67,75,79,85,74,71,68,73,66,68,73,68,57,54,71,64,58,69,38,50,42,10,16,13,15,9
R. Walter,Rémi Walter,73,5500000,21000,MIDFIELDER,69,57,50,75,53,72,64,50,71,75,65,67,74,71,75,67,69,75,61,65,68,72,61,78,63,75,65,69,67,14,7,12,8,16
F. Campos,Felipe Manuel Campos Mosqueira,73,4700000,7000,DEFENDER,72,40,69,70,37,61,56,45,66,64,87,79,76,63,66,50,77,90,81,50,58,66,64,53,40,55,69,71,71,14,12,15,14,10
F. Angileri,Fabrizio Angileri,73,4700000,16000,DEFENDER,77,64,61,68,65,75,68,43,64,70,79,82,75,70,71,76,58,84,77,64,71,69,72,67,64,70,65,70,71,8,8,11,9,8
L. Janson,Lucas Janson,73,5500000,12000,ATTACKER,59,76,58,71,69,79,52,48,58,77,79,80,85,73,85,65,87,69,49,69,63,27,78,73,69,67,32,24,26,12,12,8,9,15
M. Miazga,Matt Miazga,73,4800000,15000,DEFENDER,25,16,73,67,28,53,27,21,54,66,58,55,57,66,42,35,79,68,83,32,78,70,27,32,31,69,65,73,73,10,7,14,7,15
Rafa Soares,Luís Rafael Soares Alves,73,4700000,7000,DEFENDER,74,53,59,71,60,72,72,70,65,71,77,75,72,74,71,79,64,77,61,70,68,69,70,65,45,65,68,71,73,11,13,16,14,6
